model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,36.96969696969697,4.242424242424243,0.4233,11692.004807991534,Female Dress
CohereForAI/aya-expanse-8b,Non-Contextual,35.41666666666667,7.638888888888889,0.34945000000000004,533.9533498208896,Female Dress
Qwen/Qwen2.5-7B-Instruct,Contextual,39.39393939393939,2.4242424242424243,0.5777,314.5842252436366,Female Dress
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,43.75,2.7777777777777777,0.76835,889.260665655212,Female Dress
enstazao/Qalb-1.0-8B-Instruct,Contextual,44.84848484848485,22.424242424242426,0.6275,5064.62408662978,Female Dress
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,43.75,20.13888888888889,0.7325999999999999,359.39220100549073,Female Dress
google/gemma-2-2b,Contextual,28.484848484848484,7.878787878787878,0.0746,99.25095237626935,Female Dress
google/gemma-2-2b,Non-Contextual,27.77777777777778,11.11111111111111,0.12015,56.12765149054464,Female Dress
meta-llama/Llama-3.2-3B-Instruct,Contextual,38.78787878787879,0.0,0.3929,989.8449811720278,Female Dress
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,41.66666666666667,0.0,0.56175,424.9263096349277,Female Dress
mistralai/Mistral-7B-Instruct-v0.3,Contextual,1.2121212121212122,29.09090909090909,1.0,1.4795238410276643,Female Dress
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,0.6944444444444444,32.63888888888889,1.0,0.4519437906732732,Female Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,43.03030303030303,0.6060606060606061,0.4506,419.2970031687377,Female Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,45.83333333333333,1.3888888888888888,0.7016500000000001,261.3244559348825,Female Dress
